Nome,Instituição,Lider 1,Lider 2,Área
Caliban - Experiências coloniais comparadas,UFF,Felipe Paiva Soares,,História
CALIGRAFIAS E ESCRITURAS: Diálogo e intertexto no processo escritural na arte contemporânea.,UFMG,Maria do Carmo de Freitas Veneroso,,Artes
"Calorimetria, Transportes e Magnetometria por SQUID",UFPE,Fernando Luis de Araujo Machado,Alexandre Ricalde Rodrigues,Física
Câmara Cascudo,UFRPE,Edenilze Teles Romeiro,Andréa Carla Mendonça de Souza,Antropologia
"Camarão-da-amazônia, biologia, aquicultura e inovação",UFPA,Cristiana Ramalho Maciel,Cristina Pantoja Rocha,Recursos Pesqueiros e Engenharia de Pesca
CAMARÕES DE ÁGUA DOCE,IPA,Lourinaldo Barreto Cavalcanti,,Recursos Pesqueiros e Engenharia de Pesca
"CAMELIA - Grupo de Estudos de Condições Associadas à Musculatura Esquelética, Longevidade e em Injúrias Agudas ou crônicas.",UNESP,Paula Schmidt Azevedo Gaiolla,,Medicina
"Camenae: Grupo de Pesquisa em Cultura, Língua e Literatura Grega e Latina",UNEAL,Douglas Gonçalves de Souza,Ana Thereza Basílio Vieira,Letras
"Câmera Escura: educação, mídias e tecnologia",IFRO,Glauber Bedini de Jesus,Hedi Carlos Minin,Educação
Camilo Castelo Branco,UNESP,Luciene Marie Pavanelo,Antonio Augusto Nery,Letras
CAMINHAR: Núcleo de estudos transdisciplinares do corpo,UFSM,Andrea do Amparo Carotta De Angeli,,Fisioterapia e Terapia Ocupacional
"Caminhos - formação, educação e terapia ocupacional",UnB,Sarah Raquel Almeida Lins,,Fisioterapia e Terapia Ocupacional
"CAMINHOS - Grupo de Pesquisa em História, Educação Física, Lazer e Saúde",EBMSP,João Franco Lima,Roque Ribeiro Sanches Filho,Educação Física
Caminhos da Cerâmica Brasileira,UFSJ,Kleber José da Silva,,Artes
Caminhos da Literatura Brasileira,UFF,Matildes Demetrio dos Santos,Flávia Vieira da Silva do Amparo,Letras
Caminhos decoloniais na Saúde,UFF,Mônica de Rezende,Leandro Augusto Pires Gonçalves,Saúde Coletiva
Caminhos e Fronteiras dos Estudos Feministas,UFPEL,Rejane Barreto Jardim,,História
CAMINHOS METODOLÓGICOS DO DIREITO,FUIT,Fabricio Veiga Costa,,Direito
"Campesinato, Territórios e Conflitos na Amazônia",UFPA,Maurício Gonsalves Torres,,Sociologia
Campo Comunicacional e suas Interfaces,PUC Minas,Maria Ângela Mattos,Conrado Moreira Mendes,Comunicação
"Campo da Museologia: perspectivas teóricas e práticas, musealização e patrimonialização.",UNIRIO,Diana Farjalla Correia Lima,Teresa Cristina Moletta Scheiner,Museologia
Campo do planejamento territorial,UFABC,Silvana Maria Zioni,Sandra Momm,Planejamento Urbano e Regional
"Campo jurídico, regulação e políticas públicas",ENAP,Julia Maurmann Ximenes,,Ciência Política
"Campo, Movimentos Sociais e Educação do Campo",UNICENTRO,Marcos Gehrke,Melissa Rodrigues da Silva,Educação
"CAMTO - Cultura, Ambiente e Território",UFRB,Mariana Balen Fernandes,Shanti Nitya Marengo,Antropologia
Cana-de-açúcar: táticas para o manejo integrado de pragas,UNESP,Sergio Antonio De Bortoli,,Agronomia
CÂNCER BUCAL,UPE,Aurora Karla de Lacerda Vidal,,Odontologia
Câncer Bucal,UFU,Adriano Mota Loyola,,Odontologia
Câncer de mama,ESCS,Fábio Siqueira,,Medicina
Câncer de tireoide: diagnóstico e tratamento,FSCBH,Pedro Weslley Souza do Rosário,,Medicina
Câncer do Aparelho Digestivo,UEA,Sidney Raimundo Silva Chalub,,Medicina
CÂNCER E DEMAIS PATOLOGIAS DA REGIÃO BUCOMAXILOFACIAL,PUCRS,Karen Cherubini,Fernanda Gonçalves Salum,Odontologia
"CÂNCER GINECOLÓGICO: EPIDEMIOLOGIA, DIAGNÓSTICO E TRATAMENTO",FGM/IBGM,Elyda Gonçalves de Lima,,Odontologia
"Cancer, Ambiente, Territórios Vulneráveis",UFPE,Solange Laurentino dos Santos,Cristine Vieira do Bonfim,Saúde Coletiva
"Câncer, Envelhecimento e Cuidados Paliativos",IMIP,Jurema Telles de Oliveira Lima,Flávia Augusta de Orange Lins da Fonseca e Silva,Medicina
"CANDACES: GRUPO DE PESQUISA GÊNERO, RAÇA, CULTURA & SOCIEDADE",UNEB,Ana Claudia Lemos Pacheco,Gizelda Maria Alves Hengstl,Sociologia
CANIBAL: Grupo de Antropologia do Caribe Global,USP,João Felipe Ferreira Gonçalves,,Antropologia
Canindé - Grupo de pesquisa em História dos sertões do Piauí no período colonial e imperial,UESPI,Gabriela Berthou de Almeida,Pedrina Nunes Araújo,História
Cannabis Medicinal,UNESP,André Gonzaga dos Santos,,Farmácia
Cannabis Medicinal,UNIVASF,Larissa Araújo Rolim,Pedro José Rolim Neto,Farmácia
"CANOA - Coletivo de Estudos em Ambientes, Percepções e Práticas",UFSC,Rafael Victorino Devos,Viviane Vedana,Antropologia
Cânone: dissidências e reexistências,UESC,Inara de Oliveira Rodrigues,Paula Regina Siega,Letras
Canteiro Experimental UFMS,UFMS,Andrea Naguissa Yuba,,Arquitetura e Urbanismo
"Cânticos das Musas: estudos do mito, suas múltiplas faces e ressonâncias estéticas",UFPB,Michelle Bianca Santos Dantas,Luciane Alves Santos,Letras
"CANTO E CANTO-CORAL: ARTE, TÉCNICA E PEDAGOGIA",UNICAMP,Angelo José Fernandes,Adriana Giarola Kayama,Artes
CAOS - Sociologia e Política da Natureza,UFPE,Emílio Negreiros,,Sociologia
Caos em Sistemas Dinâmicos Clássicos e Quânticos,UTFPR,Hércules Alves de Oliveira Junior,,Física
"Caos na Mecânica Clássica, Semiclássica e Quântica",UNESP,Ricardo Egydio de Carvalho,,Física
Caos Quântico e Universalidade em Nanoestruturas Mesoscópicas,UFPB,Jorge Gabriel Gomes de Souza Ramos,,Física
"caos, desordem e complexidade em sistemas clássicos e quânticos",UFPR,Marcos Gomes Eleuterio da Luz,Marcus Werner Beims,Física
"Caos: Observatório da Tecnologia, Sociedade e [Des]Informação",IFG,Renatha Cândida da Cruz,Natália do Carmo Louzada,Divulgação Científica
"Caos: Observatório da Tecnologia, Sociedade e [Des]Informação",IFG,Renatha Cândida da Cruz,Natália do Carmo Louzada,Ciência da Informação
"CAOSMOS - Grupo de Estudos e Pesquisas sobre Linguagem, Complexidade e Transdisciplinaridade",UFU,Maurício Viana de Araújo,,Lingüística
"Capacidade de suporte humano, serviços ambientais e impactos do desmatamento",INPA,Philip Martin Fearnside,Paulo Maurício Lima de Alencastro Graça,Ecologia
CAPACIDADE DE USO E APTIDÃO DE SOLOS NA AGRICULTURA FAMILIAR DO EXUTÓRIO DA BACIA HIDROGRÁFICA DO RIO UNA - PE,IFPE,Wagner Luis da Silva Souza,,Agronomia
Capacidades de Informação e de Tecnologia Digital,UFRGS,Antonio Carlos Gastaud Maçada,Rafael Alfonso Brinkhues,Administração
Capacidades dinâmicas e inovação digital,FAE,Christiane Bischof dos Santos,Edna Regina Cicmanec,Administração
Capacitação e instrumentalização da governança corporativa para organizações brasileiras.,UFF,Ruy Afonso de Santacruz Lima,,Economia
"CAPACITE - Computação Avançada, Pesquisa Aplicada, Computação Inteligente e Tecnologias Emergentes",IFPE,Luciano de Souza Cabral,Francisco do Nascimento Júnior,Ciência da Computação
Caparaó - Grupo de Pesquisa sobre Natureza,UFMG,Maria Cristina Rosa,Luiz Gustavo Nicácio,Educação Física
"CAPIBARIBA - Coletivo de Pesquisa em Direitos Sociais, Trabalho e Subalternidades",UNIFESP,Regina Stela Corrêa Vieira,,Direito
Capital e periferia,UnB,Maria Fernanda Derntl,,Arquitetura e Urbanismo
Capital Social e Cultural,UNAMA,Douglas Junio Fernandes Assumpção,Analaura Corradi,Comunicação
"Capital, trabalho e lazer",UNICENTRO,Raquel Dorigan de Matos,Antônio João Hocayen da Silva,Administração
Capitalismo como Religião,UMESP,Jung Mo Sung,Lauri Emilio Wirth,Teologia
CAPITALISMO DE DESENVOLVIMENTO SUSTENTÁVEL,UEMG,Renato Maso Previde,,Direito
"CAPITALISMO E HISTÓRIA - Instituições, Cultura e Classes Sociais",UFG,João Alberto da Costa Pinto,David Maciel,História
"Capitalismo, Colapso e Utopia",UFJF,Dmitri Cerboncini Fernandes,Allana Meirelles Vieira,Sociologia
CAPOEIRAGEM - Grupo de Pesquisas em Capoeira Angola Ancestral.,UFVJM,Leandro Ribeiro Palhares,,Educação Física
Caquexia associada ao câncer,UNAERP,Ana Lucia Fachin Saltoratto,,Nutrição
Características e desenvolvimento das estruturas do complexo crânio-facial,UNICAMP,Deborah Queiroz de Freitas,,Odontologia
Características moleculares no comportamento e tratamento do carcinoma mucoepidermoide.,USP,Fabio Daumas Nunes,,Odontologia
"Caracterização bioquímica e epidemiologia molecular de isolados de Cryptococcus spp. no estado do Piauí, Brasil",UFPI,Fernanda Machado Fonseca,,Microbiologia
Caracterização citogenética e molecular de neoplasias hematológicas,UFPE,Antonio Roberto Lucena de Araújo,Marcos Andre Cavalcanti Bezerra,Medicina
"CARACTERIZAÇÃO DA FAUNA DE INVERTEBRADOS TERRESTRES E AQUÁTICOS EM UNIDADES DE CONSERVAÇÃO DO ESTADO DO AMAPÁ, BRASIL",UNIFAP,Alexandre Souto Santiago,,Ecologia
CARACTERIZAÇÃO DA MATRIZ ENERGÉTICA DO RIO GRANDE DO SUL,UFPEL,Larissa Pinheiro Costa,,Engenharia de Energia
Caracterização de Materiais,UFMT,Rogério Junqueira Prado,,Geociências
Caracterização de Materiais,UNINGA,Lilian Felipe da Silva Tupan,,Física
Caracterização de materiais à base de borracha fluorada,UFRJ,Ana Lúcia Nazareth da Silva,,Engenharia de Materiais e Metalúrgica
Caracterização de materiais e mecânica computacional,UTFPR,Romeu Rony Cavalcante da Costa,,Engenharia Mecânica
Caracterização de micro-organismos isolados de alimentos e produção de substâncias antimicrobianas,IFRJ,Janaína dos Santos Nascimento,,Ciência e Tecnologia de Alimentos
CARACTERIZAÇÃO DE MODULADORES DE PROTEASES,UMC,Wagner Alves de Souza Júdice,,Bioquímica
Caracterização de Moléculas Bioativas e a Relação entre Hospedeiros e Microorganismos,UNESP,Luiz Felipe Domingues Passero,,Imunologia
Caracterização de moléculas de parasitas,UFF,Regina Helena Saramago Peralta,,Medicina
Caracterização de solos e relação solo planta,UDESC,Jackson Adriano Albuquerque,,Agronomia
Caracterização de Vacinas contra COVID,UFERSA,Diogo Manuel Lopes de Paiva Cavalcanti,,Medicina
Caracterização do Ferro Pudlado,UFF,Lucas Benini,,Engenharia Mecânica
Caracterização do Solo para Fins de Manejo Específico (CSME),UNESP,José Marques Júnior,,Agronomia
CARACTERIZAÇÃO E APLICABILIDADE DE BIOMATERIAIS EM SAÚDE,FEJAL,José Marcos dos Santos Oliveira,,Odontologia
CARACTERIZAÇÃO E APROVEITAMENTO ECONÔMICO SUSTENTÁVEL DE DEPÓSITOS MINERAIS,UNIPAMPA,Régis Sebben Paranhos,Luciana Arnt Abichéquer,Engenharia de Minas
"Caracterização e Avaliação de recursos genéticos vegetais: citogenética, genotoxicidade e interação planta-microrganismos",UFSM,Solange Bosio Tedesco,,Agronomia
"Caracterização e beneficiamento de minerais, rochas e outros materiais utilizados pelo setor de gemas, joias e afins",UFES,Thiago Motta Bolonini,,Geociências
"Caracterização e Desenvolvimento Tecnológico em Materiais Cimentícios, Cerâmicos, Metálicos e Magnéticos",UEMG,Matheus de Faria e Oliveira Barreto,,Engenharia Civil
Caracterização e Inovação Tecnológica de Produtos Madeireiros e não Madeireiros na Amazônia Central,INPA,Raimunda Liége Souza de Abreu,Marcela Amazonas Cavalcanti,Recursos Florestais e Engenharia Florestal
Caracterização e Manejo de Solos Afetados por Sais e por Outros Processos de Degradação,UFRPE,Maria Betânia Galvão dos Santos Freire,Luiz Guilherme Medeiros Pessoa,Agronomia
"Caracterização e Processamento de Matérias Primas Minerais, Materiais e Resíduos Industriais",USP,Carina Ulsen,Laurindo de Salles Leal Filho,Engenharia de Minas
Caracterização e Processamento de Minerais Industriais,UFPE,Pedro Luiz Guzzo,,Engenharia de Minas
Caracterização e Processamento de Polímeros e Misturas Poliméricas,UEPG,Luis Antonio Pinheiro,,Engenharia de Materiais e Metalúrgica
Caracterização e Propriedades Físicas dos Materiais,IFES,André Itman Filho,Rosana Vilarim da Silva,Engenharia de Materiais e Metalúrgica
Caracterização e quantificação de recursos florestais,UNIPAMPA,Gabriel Paes Marangon,Adriano Luis Schünemann,Recursos Florestais e Engenharia Florestal
"Caracterização fenotípica, genotípica e epidemiológica de micro-organismos de importância humana e animal",UFG,Lilian Carla Carneiro,,Medicina
Caracterização física e reológica,UNESP,Neusa Maria Pavão Battaglini,Carlos Alberto Fonzar Pintão,Física
Caracterização Física e Reológica,UNESP,Carlos Alberto Fonzar Pintão,,Física
Caracterização funcional da Pentraxina 3,UFMG,Adriana Abalen Martins Dias,,Biologia Geral
Caracterização Macróscopica e Microscópica da Formação de Hidratos em Tubulações de Petróleo e Gás,UFF,José Adilson de Castro,Letícia Vitorazi,Engenharia de Materiais e Metalúrgica
Caracterização Microestrutural de Materiais Metálicos,UFMA,Regina Célia de Sousa,Auro Atsushi Tanaka,Engenharia de Materiais e Metalúrgica
Caracterização molecular de microrganismos,MACKENZIE,José Luiz Caldas Wolff,,Microbiologia
"Caracterização morfológica, bioquímica e molecular de fungos filamentosos",FIOCRUZ,Aurea Maria Lage de Moraes,Lucimar Ferreira Kneipp,Microbiologia
Caracterização Tecnológica de Minérios e Materiais,CETEM,Reiner Neumann,Arnaldo Alcover Neto,Engenharia de Minas
"CARACTERIZAÇÃO, ANÁLISE E MODELAMENTO DE MATERIAIS",UFF,Ladário da Silva,,Engenharia de Materiais e Metalúrgica
"Caracterização, Bioprodutos e Bioenergia de Matérias-Primas Florestais e Agrícolas da Amazônia.",UFRA,Lina Bufalino,,Recursos Florestais e Engenharia Florestal
"Caracterização, Dinâmica e Avaliação de Ecossistemas Florestais (fauna e flora)",IF,Joao Batista Baitello,Geraldo Antonio Daher Corrêa Franco,Botânica
"Caracterização, tecnologia de produção e qualidade de matérias-primas e alimentos oriundos da Amazônia meridional",UFMT,Juliana da Silva Agostini,,Ciência e Tecnologia de Alimentos
"Caracterização, uso e conservação de recursos genéticos vegetais",UFPR,Leila do Nascimento Vieira,,Botânica
Carboidratos,UFPR,Marcello Iacomini,,Bioquímica
Carbon Use and Capture in the Construction Industry | CO2-Construction,UNILA,Edna Possan,Alex Neves Junior,Engenharia Civil
CarbonoCaatinga: Grupo de Pesquisa em Ciclagem de Carbono na Caatinga,UFERSA,Ane Fortes,,Recursos Florestais e Engenharia Florestal
Carcará,UFERSA,Anderson Queiroz Lemos,,Administração
"CARCARÁS: Grupo de Estudo e Pesquisa entre Educação Filosófica, Escrita e Leitura",UNISINOS,Betina Schuler,,Educação
Carcinogênese Bucal,UFBA,Flávia Caló de Aquino Xavier,,Odontologia
Carcinogênese Bucal,UFBA,Flávia Caló de Aquino Xavier,,Odontologia
Carcinogênese Experimental e Melatonina,UNESP,Luiz Gustavo de Almeida Chuffa,,Morfologia
Carcinogênese humana,UFCSPA,Adriana Vial Roehe,Marilda da Cruz Fernandes,Medicina
Carcinologia e Biodiversidade Aquática,UFSB,Fabrício Lopes de Carvalho,,Zoologia
"Carcinoma de tireoide: diagnóstico, tratamento e seguimento",IEP-SCBH,Pedro Weslley Souza do Rosário,Gabriela Franco Mourão de Oliveira,Medicina
CARDILLA - Cartografias dos Processos Decoloniais Literários e Linguísticos Latino-Americanos,UFRRJ,Ximena Antonia Diaz Merino,Dayenny Neves Miranda,Letras
Cardio-Oncologia,UFU,Elmiro Santos Resende,Poliana Rodrigues Alves Duarte,Medicina
Cardioimunologia,UFRJ,Emiliano Horacio Medei,,Biofísica
Cardiologia,FUSVE,Ivana Picone Borges de Aragão,,Medicina
Cardiologia de Sergipe,UFS,Antônio Carlos Sobral Sousa,Joselina Luzia Menezes Oliveira,Medicina
Cardiologia do Exercício do HCPA/UFRGS (CARDIOEX).,HCPA,Ricardo Stein,Rosane Maria Nery,Medicina
Cardiologia e Hemodinâmica Comparada,UFU,Matheus Matioli Mantovani,,Medicina Veterinária
CARDIOLOGIA FETAL,IC/FUC,Paulo Zielinsky,Izabele Vian da Silveira,Medicina
Cardiologia Pediátrica e Cardiopatias Congênitas,USP,Antonio Augusto Barbosa Lopes,,Medicina
Cardiologia Veterinária Universidade Estadual de Londrina,UEL,Fábio Nelson Gava,,Medicina Veterinária
"Cardiologia, risco cardiovascular e teleorientação em cenários clínicos diversos",UFU,Flávia Bittar Britto Arantes,,Medicina
Cardiometa - Aspectos Moleculares de Doenças Cardíacas e Metabólicas,UFCA,Heberty Di Tarso Fernandes Facundo,,Bioquímica
Cardiomiopatias e Pericardiopatias,USP,Charles Mady,,Medicina
Cardiopatia Estrutural e Transplante Cardíaco,IMIP,Veronica Soares Monteiro,,Medicina
Cardiopatias,UFMG,Maria da Consolação Vieira Moreira,Carlos Faria Santos Amaral,Medicina
Cardiopatias,UNAERP,Reinaldo Bulgarelli Bestetti,Renata Dellalibera-Joviliano,Medicina
CARDIOPULMONAR UNIRIO,UNIRIO,Paulo Henrique Godoy,,Medicina
"CARE: Colaboração, Autonomia, Reflexão e Empatia no Ensino de Línguas",UFPA,Larissa Dantas Rodrigues Borges,,Lingüística
Caries Detection in Children (CARDEC) clinical trials,USP,Fausto Medeiros Mendes,,Odontologia
Cariologia,UFC,Lidiany Karla Azevedo Rodrigues Gerage,Iriana Carla Junqueira Zanin dos Santos,Odontologia
CARIOLOGIA,UFRGS,Marisa Maltz Turkienicz,,Odontologia
Cariologia,UFPB,Franklin Delano Soares Forte,Fabio Correia Sampaio,Odontologia
Cariologia aplicada a Odontopediatria,UFRGS,Jonas de Almeida Rodrigues,,Odontologia
Cariologia Básica e Clínica,UFAL,Natanael Barbosa dos Santos,,Odontologia
Cariologia e Flúor,UFPI,Marcoeli Silva de Moura,,Odontologia
Cariologia e Microbiologia Bucal,UnB,Nailê Damé Teixeira,,Odontologia
Cariologia: métodos diagnósticos e estratégias terapêuticas,UNICSUL,Michele Baffi Diniz,Tatiane Fernandes de Novaes,Odontologia
"CARISMA- Caracterização de Aglomeração Produtiva, Inovação e Empreendedorismo- CARISMA",UFRPE,Maria Gilca Pinto Xavier,Felipe Luiz Lima de Paulo,Planejamento Urbano e Regional
CARMIM Feminismo Jurídico,UFAL,Elaine Cristina Pimentel Costa,Soraia da Rosa Mendes,Direito
"CARNOT - Grupo de Estudos em Refrigeração, Nanofluidos e Otimização Termodinâmica",IFRN,Igor Marcel Gomes Almeida,,Engenharia Mecânica
CAROÁ - Coletivo de Antropologia das Resistências e Ontologias Ambientais,UFG,Suzane de Alencar Vieira,Indira Nahomi Viana Caballero,Antropologia
Carolina: Córpus Geral do Português Brasileiro e seu uso no desenvolviomento de LLMs,USP,Marcelo Finger,,Ciência da Computação
Caronte,UFCG,Pedro Henrique Passos Carné,,Filosofia
"Carta-Imagem: Grupo de Estudos em Imagem, Memória e Educação",UEFS,Marcelo Oliveira de Faria,Antonio Almeida da Silva,Educação
"Cartesius - Grupo dee estudos e pesquisa em metafísica, física, fisiologia e moral na Modernidade Nascente",UNICAMP,Enéias Júnior Forlin,,Filosofia
CARTOGEO,UFTM,Ricardo Vicente Ferreira,,Geociências
Cartografia Ambiental Urbana,UNESP,José Augusto Di Lollo,Reinaldo Lorandi,Engenharia Civil
Cartografia de Poéticas Orais do Brasil: Coletivos Poéticos,UEL,Frederico Garcia Fernandes,Alexandre Ranieri Ferreira,Letras
Cartografia e Geoprocessamento.,USP,Reinaldo Paul Pérez Machado,,Geografia
Cartografia e Sistemas de Informações Geográficas,UFPR,Claudia Robbi Sluter,Luciene Stamato Delazari,Geociências
Cartografia Geoambiental,UFMT,Auberto José Barros Siqueira,,Geociências
Cartografia Histórica do Brasil,UFMG,Antônio Gilberto Costa,Márcia Maria Duarte dos Santos,Geociências
"Cartografia Social, Territorialidades e Emergência Climática",UFRA,Elielson Pereira da Silva,Josilene Ferreira Mendes,Ciências Ambientais
"Cartografia, análise espacial e ensino com geotecnologias",UFBA,Dária Maria Cordeiro Cardoso,Erika do Carmo Cerqueira,Geociências
"Cartografia, Conflitos Territoriais e Autonomia - CARTONOMIA",UFCG,Mara Edilara Batista de Oliveira,Matheus Gouveia,Geografia
"Cartografia, infâncias, docências e currículos",UVV,Ana Paula Patrocinio Holzmeister,Maria Riziane Costa Prates,Educação
"Cartografias cotidianas: desenho, objeto e curadoria na arte contemporânea",UEL,Elke Pereira Coelho Santana,Danillo Gimenes Villa,Artes
Cartografias da Leitura,PUC-Rio,Eliana Lucia Madureira Yunes,,Letras
Cartografias da Subjetividade,UFCA,Regiane Lorenzetti Collares,Giovana Carmo Temple,Filosofia
Cartografias das culturas orais,UFPB,Ana Cristina Marinho Lúcio,Luciany Aparecida Alves Santos,Letras
"Cartografias do Bom Viver: Desenvolvimento, Sociedade, Cultura e Política",IFTO,Carlos Eduardo Panosso,,Sociologia
Cartografias do Contemporâneo: genealogia dos discursos,UFU,Israel de Sá,Cleudemar Alves Fernandes,Lingüística
"Cartografias do Médio São Francisco: Língua, Literatura, Educação, História e Periodismo",IFNMG,Pedro Borges Pimenta Júnior,,Letras
Cartografias do Sistema de Garantia de Direitos da criança e do adolescente,UFF,Ana Claudia Nery Camuri Nunes,,Psicologia
Cartografias ecopolíticas-poéticas,PUC-Rio,Ana Luiza de Souza Nobre,David M Sperling,Arquitetura e Urbanismo
Cartografias em Discurso e Subjetividade,UERJ,Décio Orlando Soares da Rocha,,Lingüística
Cartografias Emergentes da Cultura,UFSB,Alemar Silva Araújo Rena,,Artes
Cartografias Jurídicas,UnB,Alexandre Araújo Costa,,Direito
"Cartografias Literárias na América Latina: Memória, Identidades Híbridas e Reescritas da História pela Ficção",UEM,Weslei Roberto Candido,Ricardo Augusto de Lima,Letras
"Cartografias Mentais: terapia ocupacional, cotidiano e saúde mental",UFPEL,Éllen Cristina Ricci,,Fisioterapia e Terapia Ocupacional
Cartografias Narrativas em Língua Portuguesa: redes e enredos de subjetividade,PUCRS,Paulo Ricardo Kralik Angelini,,Letras
Cartografias negras e quilombolas,UFPEL,Claudia Daiane Garcia Molet,,História
"Casa Aberta Mesa Posta: Arte, Formação de Professores, Autobiografia.",UFMG,Rosvita Kolb Bernardes,Ana Cristina Carvalho Pereira,Artes
"Casa Comum - Filosofia e Teoria do Direito na Pós-Modernidade: Poder, Conflito e Paz",UNICAP,Stefano Gonçalves Regis Toscano,Ana Paula da Silva Azevêdo,Direito
Casa da Ciência da UFRJ: Popularização e Divulgação da Ciência e Tecnologia,UFRJ,Ismar de Souza Carvalho,Livia Mascarenhas de Paula,Divulgação Científica
CASA: estudos sociais sobre moradia e cidade,UERJ,Mariana Cavalcanti Rocha dos Santos,,Antropologia
Casal e família: contextos clínicos e sociais,PUC-Rio,Andrea Seixas Magalhães,,Psicologia
"Casas senhoriais e seus interiores: estudos em arte, memória e patrimônio do núcleo de Pelotas-RS",UFPEL,Annelise Costa Montone,,Arquitetura e Urbanismo
"Casas senhoriais e seus interiores: estudos luso-brasileiros em arte, memória e patrimônio",FCRB,Ana Maria Pessoa dos Santos,Ana Lucia Vieira dos Santos,Arquitetura e Urbanismo
CASCA - Coletivo de Antropologia e Saúde Coletiva,UnB,Soraya Resende Fleischer,Rosamaria Giatti Carneiro,Antropologia
CASTLab - Computational Agricultural Statistics Laboratory,UFPE,Cristiano Ferraz,Raydonal Ospina Martínez,Ciência da Computação
CaSuLo - Laboratório de Estudos em Carreiras e Sustentabilidade,UFRGS,Angela Beatriz Busato Scheffer,Camila Vieira Müller,Administração
"Casulo: arte, design e ciência",UEMG,Thatiane Mendes Duque,,Artes
CASULO: pesquisa e educação em Ciências e Biologia,UFSC,Adriana Mohr,Leandro Duso,Educação
cAt - ciência/ARTE/tecnologia,UNESP,Milton Terumitsu Sogabe,Fernando Luiz Fogliano,Artes
CAT Grupo de pesquisa em Cultura Audiovisual e Tecnologia,UFES,Daniela Zanetti,,Comunicação
Catalisadores Heterogêneos para a Decomposição da Água,UNICAMP,Juliano Alves Bonacin,André Luiz Barboza Formiga,Química
Catalisadores óxidos,UFRJ,Jean Guillaume Eon,,Química
Catálise,UFES,Luciana Alves Parreira,,Química
Catálise e Adsorção por Peneiras Moleculares,UFSCAR,Dilson Cardoso,Ernesto Antonio Urquieta Gonzalez,Engenharia Química
CATALISE E AMBIENTE,UNIFACS,Leila Maria Aguilera Campos,Luiz Antônio Magalhães Pontes,Engenharia Química
Catálise e Oleoquímica,UFPA,Geraldo Narciso da Rocha Filho,,Química
Catálise e Organometálicos,UFPE,Jefferson Luiz Princival,,Química
Catálise e Processos Tecnológicos,CEFET/MG,Eudes Lorençon,,Química
Catálise em Sistemas Nanoestruturados e Supramoleculares,UFRRJ,Eduardo Hillmann Wanderlind,,Química
CATÁLISE HETEROGÊNEA,UFCG,Vicemário Simões,,Engenharia Química
Catálise Heterogênea,INT,Clarissa Perdomo Rodrigues,Alexandre Barros Gaspar,Engenharia Química
Catálise Heterogênea e Fotocatálise,UTFPR,Márcio Eduardo Berezuk,Ana Maria da Cruz Ferrari,Química
Catálise Organometálica e Materiais - LaCOM,UNESP,Valdemiro Pereira de Carvalho Júnior,Beatriz Eleutério Goi,Química
Catálise Química,UnB,José Alves Dias,Sílvia Cláudia Loureiro Dias,Química
"Catálise, Adsorção e Biocombustíveis",UFCG,Kleberson Ricardo de Oliveira Pereira,,Engenharia Química
"Catálise, Adsorção e Geoquímica Ambiental",UEFS,Suzana Modesto de Oliveira Brito,,Química
"Catálise, Reatores Químicos e Sistemas Catalíticos Estruturados",UEM,Marcos de Souza,,Engenharia Química
Catalítico,UFMA,Tiago Gomes dos Santos,,Química
CATARSE,UnDF,Leonardo Pereira da Costa,,Educação
Cátedra Amazonense de Estudos Literários e da Cultura - CAEL,UEA,OTÁVIO RIOS Portela,,Letras
Cátedra de Empoderamento e Empreendedorismo Feminino Unicentro-Ceef Unicentro,UNICENTRO,Loide Andréa Salache,Ademir Juracy Fanfa Ribas,Administração
Cátedra de Meteorologia Aeronaútica,UNIFA,Gilberto Fisch,Gutemberg Borges França,Geociências
Cátedra Jorge de Sena para Estudos Literarios Luso-Afro-Brasileiros,UFRJ,Luci Ruas Pereira,Teresa Cristina Cerdeira da Silva,Letras
Cátedra para Fortalecimento da Gestão Pública: Iniciativas Interdisciplinares para a Sustentabilidade e Desenvolvimento Governamental,UNICENTRO,Cleverson Fernando Salache,,Administração
Cátedra Paulo Freire - Educação para a Sustentabilidade,UFRPE,Monica Lopes Folena Araújo,,Educação
Cátedra UNESCO de Educação do Campo e Desenvolvimento Territorial,UNESP,Bernardo Mançano Fernandes,Davis Gruber Sansolo,Geografia
Cátedra UNESCO em Economia Criativa e Políticas Públicas,UFV,Magnus Luiz Emmendoerfer,,Administração
CÁTEDRA UNIDA de Teologia Pública e Estudos da Religião Rev. João Dias de Araújo,UNIDA,Claudete Beise Ulrich,José Mário Gonçalves,Teologia
Categorias da Narrativa,PUC/SP,Vera Lúcia Bastazin,Gerson Tenório dos Santos,Letras
"CATRINA: grupo de estudos e pesquisa em morte, vida e ética",FAE,Inaê Benchaya Duarte,Francisleine Moleta,Psicologia
Cauim: estudos e práticas dialógicas no contexto de povos e territórios tradicionais,UnB,Mônica Celeida Rabelo Nogueira,Cristiane de Assis Portela,Antropologia
Cautio Criminalis: grupo de pesquisas em realidade do sistema penal brasileiro,UFSC,Matheus Felipe de Castro,,Direito
CBEIS-AM (Centro Bioético de Estudos e Inovação Social na Amazônia),UNIR,Odirlei Arcangelo Lovo,Roberto de Paula,Bioética
